index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for comfort and style, this shirt features a classic check pattern perfect for the fall season. Its navy blue color offers a versatile look suitable for various casual occasions. Made to keep you looking sharp and feeling comfortable all day long.","['Classic check pattern design', 'Navy blue base color for versatile styling', 'Tailored for a comfortable casual fit', 'Ideal for fall season wear', 'Durable fabric for everyday use', 'Long sleeves with buttoned cuffs', 'Lightweight and breathable material']","['men shirt', 'navy blue shirt', 'casual shirt', 'fall shirt', 'check shirt', 'men topwear', 'apparel men', 'long sleeve shirt']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans Casual Bottomwear,"Step out in style with the Peter England Men Party Blue Jeans, designed for casual summer wear. Crafted with a perfect fit and durable fabric, these jeans offer comfort and a sharp look for your party outings. The vibrant blue color adds a trendy touch to your wardrobe.","['Classic blue color ideal for summer', 'Comfortable fit for casual party wear', 'Durable and breathable fabric', 'Designed specifically for men', 'Perfect for casual and party occasions']","['jeans', 'blue jeans', ""men's jeans"", 'casual jeans', 'summer jeans', 'party wear', 'bottomwear', 'Peter England', ""men's bottomwear""]"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch,"Elevate your everyday style with the Titan Women Silver Watch, designed for casual wear. This sleek silver timepiece offers a perfect blend of elegance and functionality, making it an ideal accessory for the winter season. Its minimalist design complements any outfit, adding a subtle touch of sophistication.","['Elegant silver finish', 'Designed specifically for women', 'Casual style suitable for everyday use', 'Durable and lightweight construction', 'Perfect for winter season wear']","['Titan watch', ""women's watch"", 'silver watch', 'casual watch', 'winter accessories', ""women's fashion watch"", '2016 watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with the Manchester United Men Solid Black Track Pants, perfect for casual outings. Made for the fall season, these track pants combine sporty design with everyday wearability. Crafted to offer a relaxed fit, they are ideal for fans looking to showcase their team spirit in a subtle way.","['Solid black color for versatile styling', 'Designed specifically for men', 'Perfect for casual wear', 'Made for fall season comfort', 'Official Manchester United branding', 'Soft and breathable fabric', 'Relaxed fit for ease of movement']","['track pants', 'black', 'men', 'casual', 'fall', 'Manchester United', 'bottomwear', 'apparel']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Designed for casual wear, this t-shirt combines a sleek grey color with a perfect fit for everyday use. Made from breathable fabric, it ensures all-day comfort and durability. Ideal for summer outings and casual occasions.","['Classic grey color for versatile styling', 'Lightweight and breathable fabric for summer comfort', 'Casual design suitable for everyday wear', 'Durable material that holds shape and color', 'Perfect fit for men']","['Puma', 'Men', 'Grey', 'T-shirt', 'Casual', 'Summer', 'Topwear', 'Apparel', 'Tshirts']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Casual T-shirt for Summer,"Stay stylish and comfortable this summer with the Inkfruit Mens Chain Reaction T-shirt. Designed for casual wear, this grey tee offers a relaxed fit perfect for everyday use. Made from breathable fabric, it ensures you stay cool and fresh all day long. A versatile addition to your summer wardrobe.","['Classic grey color ideal for casual wear', 'Lightweight and breathable fabric for summer comfort', 'Relaxed fit for all-day ease', 'Durable material ensuring long-lasting use', ""Trendy 'Chain Reaction' graphic print"", 'Suitable for various casual occasions']","['Tshirt', 'Grey', 'Summer', 'Men', 'Casual', 'Topwear', 'Apparel']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Green Striped Ethnic Shirt for Summer,"Experience the perfect blend of traditional and contemporary style with the Fabindia Men Striped Green Shirt. Crafted for men, this ethnic shirt features a vibrant green base with subtle stripes, ideal for summer wear. Its breathable fabric ensures comfort during warm weather, making it a great addition to your ethnic summer wardrobe. Perfect for casual outings or festive occasions.","['Ethnic striped design with green base color', 'Lightweight and breathable fabric suitable for summer', 'Designed specifically for men', 'Comfortable fit for casual and festive occasions', 'Durable stitching and quality material', 'Easy to pair with ethnic or casual bottoms']","['men shirt', 'green shirt', 'striped shirt', 'ethnic shirt', 'summer shirt', 'Fabindia shirt', 'men topwear', 'summer ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt for Summer,"Stay stylish and comfortable this summer with the Jealous 21 Women Purple Shirt. Designed for casual wear, this vibrant purple shirt is perfect for adding a pop of color to your everyday wardrobe. Made with lightweight fabric, it ensures breathability and ease of movement. Ideal for warm weather, it blends fashion with functionality effortlessly.","['Bright purple color for a bold summer look', 'Lightweight and breathable fabric', 'Casual fit ideal for everyday wear', 'Short sleeves for added comfort', 'Button-down front for easy styling', 'Classic collar design', 'Perfect for warm weather and summer outings']","['shirt', 'purple', 'summer', 'women', 'casual', 'topwear', 'lightweight', 'breathable', 'Jealous 21']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks,"Stay comfortable and stylish this summer with the Puma Men Pack of 3 Socks. Designed for casual wear, these navy blue socks offer a perfect blend of durability and breathability. Ideal for everyday use, they keep your feet cool and fresh throughout the day.","['Pack of 3 socks for added value', 'Navy blue color suitable for casual outfits', 'Breathable fabric ideal for summer wear', 'Comfortable fit designed for men', 'Durable material for long-lasting use']","['socks', 'navy blue socks', 'men socks', 'casual socks', 'summer socks', 'Puma socks', 'pack of 3 socks', 'men accessories', 'summer fashion']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter 2016,"The Skagen Men Black Watch is a sleek and stylish accessory perfect for casual wear. Designed for the winter season, this timepiece combines modern aesthetics with practical function. Its black finish adds a versatile touch to any outfit, making it an essential addition to your accessories collection.","['Elegant black color suitable for casual occasions', 'Durable construction for everyday wear', 'Minimalist design with easy-to-read dial', 'Comfortable strap for all-day use', 'Water-resistant to protect against splashes']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter accessories', '2016 watch', 'Skagen watch', ""men's accessories""]"
