index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for the fall season, this shirt offers a comfortable fit with a stylish check pattern. Perfect for everyday wear, it pairs effortlessly with jeans or chinos for a relaxed yet polished look.","['Classic check pattern in navy blue', 'Comfortable fit tailored for men', 'Ideal for casual fall wear', 'Durable fabric suitable for everyday use', 'Button-down front with collar', 'Long sleeves with adjustable cuffs']","['shirt', 'men', 'navy blue', 'check shirt', 'casual shirt', 'fall fashion', 'topwear', 'apparel', ""men's shirt"", '2011']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Casual Jeans,"Elevate your casual summer wardrobe with the Peter England Men Party Blue Jeans. Designed for comfort and style, these jeans are perfect for casual outings and parties. Made from high-quality fabric, they offer a sleek look with a vibrant blue color that complements any outfit.","['Classic blue color perfect for summer', 'Comfortable fit ideal for casual wear', 'Durable fabric for long-lasting use', 'Stylish design suitable for parties and casual events', 'Breathable material to keep you cool']","['jeans', 'blue jeans', ""men's jeans"", 'casual jeans', 'summer jeans', 'party jeans', 'bottomwear', 'Peter England', ""men's apparel""]"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch,"Elevate your everyday style with the Titan Women Silver Watch, designed for casual wear. This elegant timepiece features a sleek silver finish that complements any outfit. Perfect for the winter season, it combines functionality with a timeless design.","['Elegant silver finish', 'Designed specifically for women', 'Casual style suitable for everyday wear', 'Durable and comfortable metal strap', 'Precise timekeeping mechanism', 'Ideal accessory for winter season', 'Lightweight and easy to wear']","['watch', 'silver watch', ""women's watch"", 'casual watch', 'winter accessory', 'Titan watch', 'fashion watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with the Manchester United Men Solid Black Track Pants. Designed for casual wear, these track pants are perfect for fall season outings. Made with quality materials, they offer a sleek look and great fit for everyday use.","['Solid black color for versatile styling', 'Comfortable fit ideal for casual wear', 'Perfect for fall season', ""Men's track pants designed for everyday comfort"", 'Durable fabric ensuring long-lasting use']","['track pants', 'black track pants', ""men's track pants"", 'casual bottomwear', 'fall fashion', 'Manchester United apparel', 'comfortable track pants', '2011 collection']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Crafted for casual wear, this t-shirt combines a classic grey color with a breathable fabric ideal for warm weather. Its versatile design makes it perfect for everyday use or relaxed outings. Elevate your summer wardrobe with this timeless piece from Puma.","['Classic grey color suitable for various casual looks', 'Lightweight and breathable fabric ideal for summer', ""Designed specifically for men's casual wear"", 'Soft and comfortable material for all-day wear', 'Durable stitching ensures long-lasting use']","[""Men's T-shirt"", 'Grey T-shirt', 'Casual wear', 'Summer apparel', 'Puma T-shirt', ""Men's topwear"", 'Breathable fabric', 'Lightweight T-shirt']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Casual Chain Reaction T-shirt,"Stay stylish and comfortable this summer with the Inkfruit Mens Chain Reaction T-shirt in classic grey. Designed for casual wear, this t-shirt offers a perfect blend of style and ease. Crafted from breathable fabric, it keeps you cool and relaxed all day long.","['Classic grey color for versatile styling', 'Lightweight and breathable fabric ideal for summer', 'Casual fit perfect for everyday wear', 'Durable material ensures long-lasting use', 'Bold Chain Reaction graphic print for a trendy look']","['tshirt', 'grey', 'summer', 'men', 'casual', 'topwear', 'Inkfruit', 'chain reaction']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Ethnic Shirt,"Experience the perfect blend of traditional ethnic style and modern comfort with the Fabindia Men Striped Green Shirt. Crafted for men and ideal for summer wear, this shirt features a refreshing green color with subtle stripes that enhance its classic look. Designed to keep you comfortable and stylish during warm days, it is a versatile addition to your ethnic wardrobe.","['Made from breathable fabric ideal for summer', 'Classic green color with stylish striped pattern', 'Ethnic design perfect for casual and festive occasions', 'Tailored fit for comfortable wear', 'Durable stitching for long-lasting use']","['men shirt', 'green shirt', 'striped shirt', 'ethnic shirt', 'summer shirt', 'Fabindia shirt', 'men topwear', 'casual ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt for Summer,"Stay stylish and comfortable this summer with the Jealous 21 Women Purple Shirt. Designed for casual wear, this shirt features a vibrant purple color that adds a pop of color to your wardrobe. Made with lightweight fabric, it ensures breathability and ease throughout the day. Perfect for pairing with your favorite jeans or skirts for a chic casual look.","['Vibrant purple color for a standout look', 'Lightweight and breathable fabric ideal for summer', 'Casual design perfect for everyday wear', 'Short sleeves for added comfort in warm weather', 'Tailored fit that flatters the female silhouette']","['shirt', 'purple', 'women', 'summer', 'casual', 'topwear', 'apparel', 'Jealous 21', 'short sleeves']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks for Summer,"Stay comfortable and stylish with the Puma Men's Pack of 3 Socks in navy blue. Designed for casual wear, these socks offer a perfect fit and breathable fabric ideal for summer. Crafted to keep your feet cool and dry, they are a must-have accessory for your everyday wardrobe.","['Pack of 3 socks for great value', 'Navy blue color perfect for casual outfits', 'Breathable fabric suitable for summer wear', 'Comfortable fit designed specifically for men', 'Durable material ensuring long-lasting use']","['socks', 'navy blue', 'men', 'casual', 'summer', 'Puma', 'pack of 3', 'footwear accessory']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch,"The Skagen Men Black Watch is a sleek and stylish accessory perfect for casual wear. Designed with a minimalist black dial and strap, it complements any winter outfit effortlessly. This watch combines modern design with reliable functionality, making it a versatile choice for everyday use.","['Minimalist black dial with clear markers', 'Durable black strap for comfortable wear', 'Water-resistant for everyday use', 'Lightweight design suitable for all-day comfort', 'Quartz movement ensures precise timekeeping']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter watch', 'Skagen', 'accessories', '2016 watch']"
