index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for men, this checkered shirt combines comfort and style, perfect for fall outings. Its navy blue base color adds a classic touch, making it versatile for everyday wear. Crafted to keep you looking sharp and feeling comfortable throughout the day.","['Classic check pattern in navy blue', 'Designed specifically for men', 'Ideal for casual wear', 'Perfect for fall season', 'Made from comfortable fabric', 'Button-down front', 'Long sleeves with button cuffs', 'Regular fit for ease of movement']","['men shirt', 'navy blue shirt', 'casual shirt', 'fall shirt', 'check shirt', 'men topwear', 'men apparel']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans Casual Bottomwear,"Step out in style with the Peter England Men Party Blue Jeans, designed for casual wear. These blue jeans are perfect for summer, offering comfort and a trendy look. Crafted for men, they combine durability with a fashionable edge, making them ideal for parties and everyday outings.","['Classic blue color perfect for party and casual wear', 'Designed specifically for men', 'Comfortable fit suitable for summer season', 'Durable fabric ensuring long-lasting wear', 'Trendy design ideal for casual and party occasions']","['jeans', 'blue', 'men', 'summer', 'casual', 'party', 'bottomwear', 'Peter England']"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch,"Elevate your everyday look with the Titan Women Silver Watch, designed for casual wear. Featuring a sleek silver finish, this watch combines style and functionality. Perfect for winter, it adds a subtle yet sophisticated touch to any outfit.","['Elegant silver-toned dial and strap', 'Designed specifically for women', 'Ideal for casual, everyday use', 'Durable with a comfortable fit', 'Perfect accessory for winter season']","['Titan', 'women watch', 'silver watch', 'casual watch', 'winter accessory', ""women's fashion watch"", '2016 watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with the Manchester United Men Solid Black Track Pants. Designed for casual wear, these track pants are perfect for fall outings or relaxed days. Made with quality fabric, they offer a great fit and durability. Show your support for Manchester United while enjoying everyday comfort.","['Solid black color for a sleek look', 'Made for men with a comfortable fit', 'Ideal for casual usage and fall season', 'Durable fabric ensuring long-lasting wear', 'Elastic waistband for adjustable comfort', 'Classic Manchester United branding']","['track pants', 'black track pants', ""men's bottomwear"", 'casual track pants', 'fall fashion', 'Manchester United apparel', ""men's track pants"", 'comfortable track pants']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Designed for casual wear, this topwear piece combines a classic grey color with a breathable fabric perfect for warm weather. Its versatile design makes it an essential addition to any man's wardrobe.","['Classic grey color for versatile styling', 'Lightweight and breathable fabric ideal for summer', 'Comfortable fit tailored for men', 'Durable material ensuring long-lasting wear', 'Casual design suitable for everyday use']","['Puma', ""Men's T-shirt"", 'Grey T-shirt', 'Casual wear', 'Summer T-shirt', ""Men's apparel"", 'Topwear', 'Breathable fabric']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Chain Reaction Casual T-shirt,"Stay comfortable and stylish this summer with the Inkfruit Mens Chain Reaction T-shirt. Crafted in a versatile grey shade, this t-shirt is perfect for casual outings. Made from breathable fabric, it ensures all-day comfort while keeping you cool. Its unique chain reaction graphic adds a trendy edge to your everyday wardrobe.","['100% breathable cotton for maximum comfort', 'Grey color with trendy chain reaction graphic print', 'Lightweight fabric ideal for summer wear', 'Classic crew neck design for a timeless look', 'Perfect for casual and everyday use', 'Durable stitching for long-lasting wear']","['mens t-shirt', 'grey t-shirt', 'summer tshirt', 'casual topwear', ""men's apparel"", 'Inkfruit t-shirt', 'graphic tee', 'comfortable summer wear']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Ethnic Shirt for Summer,"Elevate your ethnic wardrobe with the Fabindia Men Striped Green Shirt, perfect for summer wear. Designed with breathable fabric, it ensures comfort during warm days while maintaining a stylish look. The striped pattern adds a classic touch to your casual or traditional occasions. Ideal for men who appreciate both style and cultural aesthetics.","['Ethnic style shirt suitable for men', 'Striped green design for a classic look', 'Lightweight and breathable fabric perfect for summer', 'Comfortable fit for all-day wear', 'Ideal for casual and traditional occasions']","['men shirt', 'green shirt', 'striped shirt', 'ethnic shirt', 'summer shirt', 'Fabindia shirt', 'men topwear', 'summer apparel', 'casual ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Shirt,"Stay stylish and comfortable this summer with the Jealous 21 Women Purple Shirt. Designed for casual wear, this shirt combines a vibrant purple color with a classic fit that suits any casual occasion. Made for women who value both fashion and comfort, it’s a perfect addition to your summer wardrobe.","['Vibrant purple color perfect for summer', 'Casual fit ideal for everyday wear', 'Lightweight fabric for breathability', 'Short sleeves for comfort in warm weather', 'Classic collar design', 'Durable stitching for long-lasting use']","['shirt', 'purple', 'women', 'casual', 'summer', 'topwear', 'apparel']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Navy Blue Casual Socks Pack of 3,"Stay comfortable and stylish this summer with the Puma Men Pack of 3 Socks. Designed in navy blue, these socks are perfect for casual wear. Crafted for breathability and durability, they make an excellent choice for everyday use.","['Pack of 3 socks for value and convenience', 'Navy blue color complements casual outfits', 'Made from breathable materials ideal for summer', 'Designed specifically for men', 'Durable fabric ensures long-lasting wear']","['Puma socks', 'men socks', 'navy blue socks', 'casual socks', 'summer socks', 'pack of 3 socks', ""men's accessories"", 'summer fashion']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter Edition,"Elevate your casual winter style with the Skagen Men Black Watch, designed for the modern man. This sleek black timepiece combines minimalist Scandinavian design with practical functionality. Perfect for everyday wear, it seamlessly complements any outfit while keeping you punctual and stylish.","['Elegant black dial with minimalist design', 'Durable black strap for comfortable wear', 'Water-resistant for everyday protection']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter watch', 'Skagen watch', 'accessories', '2016 watch']"
