index,id,productDisplayName,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,title,description,features,keywords
0,15970,Turtle Check Men Navy Blue Shirt,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Casual Shirt,"Elevate your casual wardrobe with the Turtle Check Men Navy Blue Shirt. Designed for comfort and style, this shirt features a classic check pattern perfect for fall. Made for men who appreciate both fashion and functionality, it pairs effortlessly with jeans or chinos for a relaxed yet polished look.","['Navy blue base color with stylish check pattern', 'Perfect for casual wear during the fall season', 'Comfortable fabric suitable for all-day wear', 'Classic shirt design with button-down front', 'Ideal for pairing with casual trousers or jeans']","['shirt', 'navy blue', 'men', 'casual', 'fall', 'check pattern', 'topwear', 'apparel']"
1,39386,Peter England Men Party Blue Jeans,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Party Blue Jeans Casual Bottomwear,"Step out in style with the Peter England Men Party Blue Jeans, designed for casual summer wear. These blue jeans offer a perfect blend of comfort and fashion, ideal for party or everyday casual occasions. Crafted to keep you cool and trendy during the warmer months.","['Classic blue color suitable for parties and casual outings', 'Lightweight denim fabric perfect for summer comfort', 'Tailored fit for a stylish appearance', 'Durable stitching for long-lasting wear', 'Versatile design that pairs well with various tops']","['men jeans', 'blue jeans', 'summer jeans', 'casual jeans', 'party jeans', 'men bottomwear', 'Peter England', 'summer fashion']"
2,59263,Titan Women Silver Watch,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Titan Women Silver Casual Watch,"This elegant Titan Women Silver Watch is designed for casual wear, making it a perfect accessory for everyday style. Crafted with a sleek silver finish, it adds a touch of sophistication to any winter outfit. Its minimalist design combines functionality with timeless fashion.","['Silver-tone stainless steel strap and case', 'Minimalist dial with easy-to-read markers', 'Durable and comfortable for daily casual use']","['Titan watch', ""women's watch"", 'silver watch', 'casual watch', 'winter accessories', 'fashion watch', '2016 watch']"
3,21379,Manchester United Men Solid Black Track Pants,Men,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Casual Track Pants,"Stay comfortable and stylish with these Manchester United men’s solid black track pants, perfect for casual wear. Crafted for the fall season, these track pants offer a sleek look with a comfortable fit. Ideal for relaxed outings or light workouts, they combine fashion and functionality effortlessly.","['Solid black color for versatile styling', 'Designed specifically for men', 'Made for casual wear and everyday comfort', 'Perfect for fall season with breathable fabric', 'Elastic waistband for a secure fit', 'Durable material ensures long-lasting use']","['track pants', 'men', 'black', 'casual', 'fall', 'bottomwear', 'Manchester United', 'comfortable', 'athleisure']"
4,53759,Puma Men Grey T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey Casual T-shirt for Summer,"Stay comfortable and stylish this summer with the Puma Men Grey T-shirt. Made from breathable fabric, it is perfect for casual outings and everyday wear. The classic grey color pairs easily with any outfit, making it a versatile addition to your wardrobe.","['100% cotton for breathability and comfort', 'Classic grey color for versatile styling', 'Short sleeves ideal for summer wear', 'Casual fit for relaxed comfort', 'Durable stitching for long-lasting use', 'Lightweight fabric keeps you cool', 'Suitable for casual and everyday wear']","['tshirt', 'grey', 'men', 'summer', 'casual', 'Puma', 'topwear', 'apparel', 'short sleeve']"
5,1855,Inkfruit Mens Chain Reaction T-shirt,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Grey Casual Chain Reaction T-shirt,"Stay stylish and comfortable this summer with the Inkfruit Mens Chain Reaction T-shirt. Crafted in a versatile grey color, this tee is perfect for casual outings and everyday wear. Made from breathable fabric, it ensures all-day comfort while keeping you looking sharp.","['Classic grey color perfect for casual wear', 'Lightweight and breathable fabric ideal for summer', 'Comfortable fit for all-day wear', 'Durable stitching for long-lasting use', 'Stylish chain reaction graphic print on front']","['tshirt', 'grey', 'men', 'summer', 'casual', 'topwear', 'apparel', 'Inkfruit', 'chain reaction']"
6,30805,Fabindia Men Striped Green Shirt,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Ethnic Shirt,"Elevate your summer wardrobe with the Fabindia Men Striped Green Shirt, designed for men who appreciate ethnic style and comfort. Made from breathable fabric, this shirt is perfect for warm weather and traditional occasions. Its classic green stripes add a touch of sophistication to your casual and ethnic looks. Ideal for those seeking a blend of style and cultural heritage.","['Breathable fabric suitable for summer wear', 'Ethnic striped design in green color', 'Comfortable fit tailored for men', 'Perfect for casual and traditional occasions', 'Durable material ensuring long-lasting use']","['men shirt', 'green shirt', 'ethnic shirt', 'summer shirt', 'striped shirt', 'Fabindia shirt', 'men topwear', 'summer ethnic wear']"
7,26960,Jealous 21 Women Purple Shirt,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Casual Summer Shirt,"Elevate your casual wardrobe with the Jealous 21 Women Purple Shirt, designed for comfort and style during the summer season. This vibrant purple shirt is perfect for day-to-day wear, offering a relaxed yet chic look. Made for women who appreciate both fashion and ease, it's a versatile addition to your topwear collection.","['Vibrant purple color for a bold summer look', 'Lightweight fabric ideal for warm weather', 'Casual style perfect for everyday wear', 'Designed specifically for women', 'Classic shirt design with a modern twist']","['shirt', 'purple shirt', ""women's shirt"", 'casual shirt', 'summer shirt', 'topwear', 'Jealous 21', ""women's fashion"", 'apparel', 'casual wear']"
8,29114,Puma Men Pack of 3 Socks,Men,Accessories,Socks,Socks,Navy Blue,Summer,2012.0,Casual,Puma Men Pack of 3 Navy Blue Casual Socks,"Stay comfortable and stylish with the Puma Men Pack of 3 Socks in navy blue. Designed for casual summer wear, these socks offer a perfect blend of breathability and durability. Ideal for everyday use, they provide a snug fit and keep your feet fresh throughout the day.","['Pack of 3 socks for everyday use', 'Navy blue color suitable for versatile styling', 'Lightweight and breathable fabric for summer comfort', 'Designed specifically for men', 'Perfect for casual wear and daily activities']","['socks', 'navy blue', 'summer', 'men', 'casual', 'Puma', 'pack of 3', 'accessories']"
9,30039,Skagen Men Black Watch,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Skagen Men Black Casual Watch - Winter 2016,"The Skagen Men Black Watch is a sleek and stylish accessory designed for casual wear. Featuring a minimalist black design, it perfectly complements any winter outfit. Crafted for comfort and durability, this watch is a timeless piece for everyday use.","['Elegant black dial and strap', 'Designed specifically for men', 'Ideal for casual occasions', 'Durable and comfortable material', 'Perfect for winter season wear', '2016 classic design']","['watch', 'black watch', ""men's watch"", 'casual watch', 'winter accessory', 'Skagen watch', '2016 watch', ""men's fashion watch""]"
